,0,1,2,3,4,5,6,7,8,9
Ashok Kumar,,,,,,,"""Motumaster"" by Amit Trivedi:
    Iski maa (bhai kiski maa)
    Iski maa agar isse, pait mein hi maar deti (maar deti)
    Toh Bihar mein akaa...",,,
Asketa,"""Arabian Nights,Vol. 2 (Chap. 3)"" by Richard F. Burton:
    Tale of King Omar Bin Al-Nu'uman and His Sons Sharrkan and Zau Al-Makan
    And What Befel Them of Thing...",,"""Ulysses (Chap. 15 - Circe)"" by James Joyce:
    The Mabbot street entrance of nighttown, before which stretches an uncobbled transiding set with ske...","""Arabian Nights, Vol. 3 (Chap. 13)"" by Richard F. Burton:
    Tale Of Kamar Al Zaman
    That there was in times of yore and in ages long gone before a King called Sh...",,,"""Ulysses (Chap. 15 - Circe)"" by James Joyce:
    The Mabbot street entrance of nighttown, before which stretches an uncobbled transiding set with ske...",,,"""Ulysses (Chap. 15 - Circe)"" by James Joyce:
    The Mabbot street entrance of nighttown, before which stretches an uncobbled transiding set with ske..."
Aso,"""2019 and 2020 Fresh Finds: Pop (Playlist)"" by Spotify:
    12/7/2020 Update
    ""Weekend"" - Clubhouse
    ""Dress"" - Charlotte Sands
    ""Nirvana"" - ELLIANA
    11/18/2020 Upda...","""The Work of Art in the Age of Mechanical Reproduction"" by Walter Benjamin (philosopher):
    Our fine arts were developed, their types and uses were established, in times very different from th...","""Smile"" by JNT & St-Prince:
    You give that up the way you smile, oh, oh
    Up in my car an take a ride, oh, oh
    You give me ride all ...","""BAMBOLA STAR"" by ASOKO:
    E come vedete ora sono già qui
    Sono già in macchina
    È che sto andando a prendere la nostra djiva Bam...","""Refresh"" by Saiizo:
    Ah, Ih letschter Zyt isch so viu passiert
    Ih ha Narbenä kaschiert uh die Wägänä passiert
    Wyt drvo vo...","""Why do all my idols die?"" by LEEREN:
    ASOTAI
    I’m so fucking sick
    Of my idols dying, they’re an inspiration to my clique
    I’ve been vibin wi...","""Hyperbolic Chamber Music"" by Ryan Hemsworth:
    What's happenin' man?
    Ryan Hemsworth, what's happenin'?
    Zachg, what's happenin'?
    Youknowhatimsayin, ...","""ATP4"" by Lame3zy:
    I ain't really take the shit you say to me
    You say the streets the are dangerous but it won’t take m...",,
Astrid Varnay,,,,,,,,,,
Astrud Gilberto,"""Água de Beber"" by Astrud Gilberto:
    Eu quis amar, mas tive medo
    E quis salvar meu coração
    Mas o amor sabe um segredo
    O medo pode matar o...","""Fly Me to the Moon"" by Astrud Gilberto:
    Fly me to the moon
    Let me play among the stars
    Let me see what spring is like
    On Jupiter and Mars
    In...","""(So Nice) Summer Samba"" by Astrud Gilberto:
    Someone to hold me tight
    That would be very nice
    Someone to love me right
    That would be very nice
    So...",,"""Berimbau"" by Astrud Gilberto:
    Quem é homem de bem não trai
    O amor que lhe quer seu bem
    Quem diz muito que vai, não vai
    Assim como ...","""The Shadow of Your Smile"" by Astrud Gilberto:
    The shadow of your smile
    When you are gone
    Will color all my dreams
    And light the dawn
    Look into my ...","""How Insensitive"" by Astrud Gilberto:
    How insensitive
    I must have seemed
    When he told me that he loved me
    How unmoved and cold
    I must have...","""Once I Loved"" by Astrud Gilberto:
    Once I loved
    And I gave so much love to this love
    You were the world to me
    Once I cried at the thoug...","""The Girl From Ipanema"" by Astrud Gilberto:
    Olha que coisa mais linda
    Mais cheia de graça
    É ela a menina que vem e que passa
    Num doce balanço a ...","""Dreamer"" by Astrud Gilberto:
    Why are my eyes always full of this vision of you
    Why do I dream silly dreams that I fear won't come..."
Aterciopelados,"""Bolero Falaz"" by Aterciopelados:
    Y dice...
    
    Buscas en mis bolsillos pruebas de otro cariño
    Pelos en la solapa, esta sonrisa me delata...","""Baracunatana"" by Aterciopelados:
    No llevo para mi casa
    Una mujer baracunatana
    Porque pueden pensar
    Que estoy loco, loco, loco-lo
    
    Ano...",,"""Florecita Rockera"" by Aterciopelados:
    ¿Cómo echarte flores
    Si eres un jardín?
    Con esos olores
    Me siento morir
    
    Florecita rockera, tú te lo...","""Maligno"" by Aterciopelados:
    Dentro muy dentro, como un implante
    Incrustado en mi interior
    En mi cerebro loop implacable
    Mi volun...","""(Ven Al) Club Dudua"" by El Chojin:
    Ven a visitar el club Dudua
    No encontraras nada igual en toda la ciudad amigo
    Ven a disfrutar de pla...","""Rompecabezas"" by Aterciopelados:
    Y es que fueron, fueron tus abrazos
    Que como sablazos me hicieron pedazos
    Afiladas fueron tus mirada...","""He Venido A Pedirte Perdón - Remasterizado"" by Aterciopelados:
    Canto de tristeza
    Por que lo nuestro terminó
    Te vas, ya nunca volverás
    Te olvidarás de mí
    Y hoy muy ...",,"""El Álbum"" by Aterciopelados:
    Tu rostro lo tengo fijado
    En el lado de adentro de mis párpados
    Tu recuerdo resuena como un eco
    En m..."
Atlantis,"""Atlantis"" by Bridgit Mendler:
    Deep underwater is where I left my love
    Clean at the surface, shallow to the touch
    Nothing left, he'...","""Oceans"" by Twin Atlantic:
    Happier than I was before
    I'm hoping now you're here
    I'm able to handle it
    I'm drifting along coastl...","""CASINO"" by Jon Shin:
    (Chorus 1)
    Bust out my mind with a cheat code
    Bouta change my life like Feeno (Like Feeno)
    Took a di...","""Pickney"" by NAV:
    (Wheezy outta here)
    
    Levitatin' off the pills, I'm defyin' physics
    Paranoid, somebody knockin' at th...","""The Boy Apprenticed to an Enchanter - Part Two: The Story of Bird-of-Gold who was the Bramble Gatherer’s Daughter"" by Padraic Colum:
    HOW THE BRAMBLE GATHERER'S DAUGHTER WENT TOWARD HER FORTUNE
    I am called Bird-of-Gold (said the girl,...","""2008 Presidential Acceptance Speech"" by Barack Obama:
    If there is anyone out there who still doubts that America is a place where all things are possible;...","""No No No"" by Gucci Mane:
    She know a nigga' street
    Vacation for a week
    We sexing on the beach
    And I ain’t taking ‘bout the dri...","""Atlantis"" by Nia Wyn:
    My overdraft is laughing at me
    And my friends don’t send no invites
    I was never a big swimmer
    But I ...","""Keep On Lovin’"" by Dave Hollister:
    (Intro)
    Uh-huh (keep loving)
    Uh-huh (you baby)
    In Atlantic city (yeah)
    Where all the girls at baby
    T...","""Onyx"" by DJ Drama:
    Honorable C.N.O.T.E
    Trigga, Dolla $ign and August
    (I met her at Onyx)
    What we on tonight?
    DJ Drama!
    ..."
Atlas,"""New Reality"" by Killah Priest:
    Its true! It’s a tiny little planet
    I leave it sometimes and travel all over the universe
    I go to ot...","""Advanced warfare the musical"" by LHugueny:
    Call of Duty
    Answer the call of duty
    Advanced Warfare
    This is some advanced warfare
    KOREA 2!
    Call of...","""Outta My Head"" by 倖田來未 (Kumi Koda):
    Me wo tojireba soko ni Roses & the crosses
    Umetsukushiteku
    Atashi marude Frozen
    Code red
    Atashi Melt...","""23 (Jordan year)"" by K Zeus:
    Verse 1 King Blaine:
    23 going on 45
    Atleast im still Jordan atleast im still alive
    Vamp life I come ...","""We Created a Monster"" by Atlas Volt:
    The countless mistakes that we make
    Ignoring the problems that we face
    Hoping they'll vanish in the ...","""​albums ive listened to"" by ​blazifyy:
    Elvis - ""SELFMADE""
    6LACK - East Atlanta Love Letter
    99 Neighbors - Television
    Ameer Vann - EMMANUEL
    ...","""Middle Finger Response"" by Propagandhi:
    Bowl of cherries in Waskasio Creek
    A sylvan way of life for those who seek
    None beyond a parkland ma...",,"""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Enemies"" by Yung Bans:
    Murda on the beat so it's not nice
    Hmm, yeah, yeah
    
    Hmm, ayy, yeah, I got so many enemies, ayy
    If I ..."
Attaque 77,"""Arrancacorazones"" by Attaque 77:
    Evitar, resistir
    Tu hechizo de suave adicción
    Como si fuera fácil
    Dominar mi sentir
    Y saber que te v...","""Hacelo Por Mi"" by Attaque 77:
    Yo no sé, lo que sentí esa tarde que te vi
    Yo pensaba en otras cosas, fuiste mucho para mí
    Yo creía ...","""No Me Arrepiento de Este Amor"" by Attaque 77:
    No me arrepiento de este amor
    Aunque me cueste el corazón
    Amar es un milagro y yo te amé
    Como nunca ...","""Chance"" by Attaque 77:
    Día a día aprendiendo a ser, miro hacia atrás todo el camino hecho
    Lo que pudo ser y lo que fue mi o...","""Beatle"" by Attaque 77:
    Sé que vos me amás
    Sabés que yo te amo
    Mi amor por vos es único
    Pero no es mi único amor
    Sé que vos ...","""Western"" by Attaque 77:
    QUE ESPERAS
    Produccion descomunal
    QUE ESPERAS
    Holywood no existe mas
    QUE ESPERAS
    Sudamerica es asi
    Q...","""Porque Te Vas..."" by Attaque 77:
    Hoy en mi ventana brilla el sol
    Mi corazón
    Se pone triste contemplando la ciudad
    Porque te vas
    Como ...","""Rap DZ 2020 إصدارات الراب الجزائري"" by Genius Arabia:
    : ألبومات / Albums
    98Squad - Ep Notif
    213 - cake season EP
    Adel Sweezy - Album Help
    Anis ZNK - Album...","""Espadas Y Serpientes"" by Attaque 77:
    Yo recuerdo aquella noche
    Y también te recuerdo a vos
    Ese fue mi último golpe
    Y también fue mi últim...","""Soy Rebelde"" by Attaque 77:
    Yo soy rebelde por que el mundo me hizo así
    Por que nadie me ha tratado con amor
    Por que nadie me ha..."
Attrition,"""Tu mérites"" by DJ Peet:
    Yeah, ma baby
    Dj peet
    Lartiste, baby
    Sarkodie
    Dj peet in the building
    Ey ey ey, t'es ma number one
    E...","""Attention"" by Ringo Starr:
    Everybody needs attention
    Everybody wants to smile
    Everybody needs a mention
    Attention, attention, f...","""Secret"" by Young Corrado:
    Padre perdonami ho molto peccato proteggimi veglia su me, su di me
    Padre ti prego poi dammi la forza...","""The Adventure of the Yellow Face"" by Sir Arthur Conan Doyle:
    In publishing these short sketches based upon the numerous cases in which my companion’s singular gi...","""Our Mutual Friend (Chap. 2.8)"" by Charles Dickens:
    In Which An Innocent Elopement Occurs
    The minion of fortune and the worm of the hour, or in less cut...","""Orlando Furioso- Canto One"" by Ludovico Ariosto:
    I.
    OF LOVES and LADIES, KNIGHTS and ARMS,
    I sing, Of COURTESIES, and many a DARING FEAT;
    And from th...","""Aeneid: Book 5"" by Publius Vergilius Maro:
    Meantime the Trojan cuts his wat'ry way,
    Fix'd on his voyage, thro' the curling sea;
    Then, casting b...",,"""Chinatown"" by Darin Raps:
    (Chorus)
    I be in
    I be in
    I be in Chinatown Chillin'
    I be in
    I be in
    I be in Chinatown Chillin'
    I be ...","""Old School Language"" by Zach Sherwin:
    Every time I kick a verse, every single word of it
    Is timeless, ageless, evergreen, permanent
    I don'..."
Au/Ra,"""New Music Friday 10/09/20"" by Spotify:
    Baby, I'm Jealous (feat. Doja Cat) - Bebe Rexha
    Sleepy Hollow - Trippie Redd
    JEWELZ - Anderson .Paak...","""Panic Room"" by Au/Ra:
    Welcome to the—, welcome to the—
    Welcome to the—, welcome to the—
    
    Hell raising, hair raising
    I'm re...","""Darkside"" by Alan Walker:
    We're not in love
    We share no stories
    Just something in your eyes
    Don't be afraid
    The shadows know m...","""Dead Girl!"" by Au/Ra:
    Friend of mine
    Is a black suitcase and a frowny face
    Had a life
    And now my eyes are glazed 'cause th...","""Ghost"" by Au/Ra & Alan Walker:
    (Ghost, ghost, ghost, ghost)
    (Ghost, ghost, ghost, ghost)
    
    Today, I'm kinda feelin' like a ghost (Gh...","""Panic Room"" by Au/Ra:
    Welcome to the—, welcome to the—
    Welcome to the—, welcome to the—
    
    Hell raising, hair raising
    I'm re...","""Feel Again"" by Kina & Au/Ra:
    We were just kids, and we didn't know nothing
    It didn't make sense, but it felt like something
    Remem...","""​i miss u (VIZE Remix)"" by Jax Jones & Au/Ra:
    I only miss you when it rains
    And when I listen to the radio
    Go past your station on the train
    And t...","""Dance in the Dark"" by Au/Ra:
    Shock shock, horror horror
    If you really thought that
    Growin' up would be easy
    All that drama, drama...","""Concrete Jungle (Acoustic)"" by Au/Ra:
    Vultures sit on skyscrapers
    Watchin' for the ones who fall down first
    Everything you want in 24 hour..."
Aura,"""Great Big Storm"" by Nate Ruess:
    Because we’re
    Holding our own in a great big storm
    It’s a great big storm and we’re holding our own
    ...","""The Tanning Of Amerca: Chapter 1 Walk This Way"" by Steve Stoute:
    Most cultural movements that go on to have staying power begin in the grass roots. They may appear t...","""Ulysses (Chap. 8 - Lestrygonians)"" by James Joyce:
    Pineapple rock, lemon platt, butter scotch. A sugarsticky girl shovelling scoopfuls of creams for a ...","""Euphoria"" by Vacationer:
    There’s no time like free time
    No time like now
    No mind like free mind
    No why, or how
    No time like f...","""SCP-1221"" by The SCP Foundation:
    Item #: SCP-1221
    Object Class: Safe
    Special Containment Procedures: SCP-1221 is non-hazardous and co...","""New Music Friday 10/18/19"" by Spotify:
    Katy Perry - Harleys In Hawaii
    BTS - Make It Right (feat. Lauv)
    G-Eazy - I Wanna Rock (feat. Gunna)
    ...","""Chapter 3"" by Marcel Proust:
    CHAPTER THREE
    THE SORROWS OF M. DE CHARLUS. — HIS SHAM DUEL. — THE STATIONS ON THE ‘TRANSATLANTIC.’—...","""​control"" by ​for KING & COUNTRY:
    You asked me to let go but I thought I knew better
    Afraid of surrender and what I don't know
    I've al...","""Drank & Smoke"" by French Montana:
    Mike WiLL Made-It
    Evil Empire
    Dranked up, smoked up
    Dranked up, smoked up
    Dranked up, smoked up
    Dran...","""Spotify Singles: Complete Collection"" by Spotify:
    The Kid LAROI
    WITHOUT YOU (Acoustic)
    Lean Wit Me
    Black Pumas
    Colors feat. Hypnotic Brass Ensemble
    Su..."
Aurra,"""New Music Friday 03/16/18"" by Spotify:
    Lil Dicky - Freaky Friday feat. Chris Brown
    Kygo & Miguel - Remind Me to Forget
    Halsey - Alone feat....","""Murda Mook vs. Aye Verb"" by Rare Breed Entertainment:
    Ay look, the cowboy ain't wanna meet (meat) on URL
    So Rare Breed was the medium to cater the plate
    T...","""January 2019 Singles Release Calendar"" by Genius:
    1/1
    Anuel AA - ""Te Boté (RHLM Version)""
    Chaka Khan - ""Hello Happiness""
    DaBaby - ""Walker Texas Ranger...","""RBMA Paris Lecture"" by Kindness:
    Lauren Martin:	(singing)
    One two, one two.
    Adam Bainbridge:	Hello? Hi.
    Lauren Martin:	Hey everyone, ...","""Adieu"" by Hugues Aufray:
    Tu sais, maintenant je pense
    Qu'il est temps de se quitter
    Simplement, dans le silence
    S'en aller
    Qu...","""Tout donné"" by Koriass:
    J'ai vu des routes, j'ai vu des tapis rouges sous mes pieds
    J'ai vu des ennemis tomber pis j'ai vu d...","""Loaded Lux vs. Aye Verb"" by URLtv:
    It's for my niggas up north getting full on that jack mac
    Another Smack back, I got a sucker to back...",,,
Aurèle Nicolet,,,,,,,,,,
Auto-Auto,"""Late Night Automatic"" by Kevin Rudolf:
    She's my
    My late night automatic
    Automatic
    One call automatic
    Now she's coming automatic
    We in the c...","""Autoscooter"" by Opa Jott:
    Autoscooter, Autoscooter, Autoscooter
    Ich bin der kühle Typ vom Autoscooter
    Autoscooter, Autoscooter...",,,,"""Autodestrucción"" by Natos y Waor:
    Costa, Natos y Waor
    Eh, dream team
    
    Entramos por lista  sin esperar fila
    Botellas de ron, chupitos d...","""Betrayal"" by Yo Gotti:
    They tried play me
    My own squad tried betray me
    Never love these bitches 'cause they played me
    Can't...",,"""Blue Story"" by Dave East:
    Bust out the meter, this one for Tunechi and Jeter, yeah
    Just one song for all my loved ones, yeah
    W...","""Missing Person’s Report"" by The Pablo Collective:
    Talk about the beginning
    And the end of your vows
    Constellations tell you facts fucker
    Truth furrows..."
Avail,"""This Is Justin Bieber"" by Spotify:
    1. Justin Bieber- 2 Much
    2. Justin Bieber- Deserve You
    3. Justin Bieber- As I Am (feat. Khalid)
    4. J...","""Necronomicon"" by The Besnard Lakes:
    All of the elders have names wrote Necronomicon
    All of the colors are red wrote Necronomicon
    All of ...","""In Their Own Words"" by Pfc. Chelsea Manning:
    Host: Anna Bacciarelli.
    Chelsea Manning voiced by Michelle Hendley.
    
    Okay so, today’s episode is a b...","""This Is Justin Bieber"" by Spotify:
    1. Justin Bieber- 2 Much
    2. Justin Bieber- Deserve You
    3. Justin Bieber- As I Am (feat. Khalid)
    4. J...","""Albums I’ve Listened To"" by Pessoa:
    Adele - 19
    Agust D - D-2
    AJ - 1962
    AJR - The Click
    AJR - Living Room
    AJR - Neotheater
    AJR - OK ORCHE...","""2020 TheHills79 Listening Log"" by TheHills79:
    Welcome to a New Decade!July is a little bit messy right now, but I'll fix it later 😊
    January 1, 202...","""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Viacom v. YouTube (Amicus Brief)"" by Lincoln Square Legal Services:
    Viacom International Inc., Comedy Partners, Country Music Television, Inc., Paramount Pictures Corpo...","""This Is Justin Bieber"" by Spotify:
    1. Justin Bieber- 2 Much
    2. Justin Bieber- Deserve You
    3. Justin Bieber- As I Am (feat. Khalid)
    4. J...","""This Is Justin Bieber"" by Spotify:
    1. Justin Bieber- 2 Much
    2. Justin Bieber- Deserve You
    3. Justin Bieber- As I Am (feat. Khalid)
    4. J..."
Avancada,"""Avançada"" by Kevinho:
    Aê, o moleque dos hits lançou mais uma, fio
    'Cê acredita?
    
    Eita, menina malvada
    E quando empina não ...","""Frases"" by Zap-San:
    Frases e concepções, suas verdades e contradições
    (Eu tenho fé)
    Que frases movem multidões a levar o...",,"""Século XXI"" by PrimeiraMente:
    Não se escravize às opiniões alheias
    Não importa o que pensam ou dizem de nós
    O que importa é o que ...","""Faca Amolada"" by MAYA (Brasil):
    Dia quer chocolate?
    Véi cófoi de Faustino?
    De longe me avistou
    Você me viu passar
    Fingiu que não olh...","""Flow Mia Khalifa"" by Simas.:
    Surpresa, tipo Kinder
    Eu fiz a Lista de Schindler
    Nunca presa de pischer
    Dono de pibull
    Não critico
    ...","""Ultraboombap"" by Grossomodo:
    Letra de ""Ultraboombap""
    En ocasiones oigo muertos, flows psicofónicos se filtran
    Desde criptas me di...","""TBT"" by Pineapple StormTV:
    Tchuru, tchurururu
    Tchururururururu
    (Salve Malak)
    Tchuru, tchuru, tchurururu
    
    Você mente demais
    E qu...",,"""Bird Box"" by Lucas LW:
    Às vezes eu queria ser inocente
    E certas coisas não me atingiriam
    Mas inocente não é inteligente
    Por..."
Avenged Sevenfold,"""Hail to the King"" by Avenged Sevenfold:
    Watch your tongue or have it cut from your head
    Save your life by keeping whispers unsaid
    Children r...","""Nightmare"" by Avenged Sevenfold:
    Nightmare!
    Now your nightmare comes to life
    
    Dragged ya down below, down to the devil's show
    To be h...","""Bat Country"" by Avenged Sevenfold:
    He who makes a beast out of himself
    Gets rid of the pain of being a man
    
    Caught here in a fiery blaz...","""Shepherd of Fire"" by Avenged Sevenfold:
    Let's take a moment and break the ice
    So my intentions are known
    See I have pity in watching you suf...","""Afterlife"" by Avenged Sevenfold:
    Like walking into a dream, so unlike what you've seen
    So unsure but it seems, 'cause we've been wait...","""A Little Piece of Heaven"" by Avenged Sevenfold:
    Before the story begins
    Is it such a sin
    For me to take what's mine
    Until the end of time?
    We were m...","""Welcome to the Family"" by Avenged Sevenfold:
    Hey kid (Hey kid)
    Do I have your attention?
    I know the way you've been living
    Life so reckless, trag...","""Dear God"" by Avenged Sevenfold:
    A lonely road, crossed another cold state line
    Miles away from those I love, purpose hard to find
    Wh...","""So Far Away"" by Avenged Sevenfold:
    Never feared for anything
    Never shamed but never free
    A life that healed the broken heart with all t...","""Buried Alive"" by Avenged Sevenfold:
    Take the time just to listen
    When the voices screaming are much too loud
    Take a look in the distance..."
Aventura,"""Noche de Sexo (Live)"" by Wisin & Yandel:
    Hoy es noche de sexo
    ¡So nasty!
    
    Hola, ¿qué tal? (Déjame oírte)
    Soy el chico de las poesías
    Tu fiel ...","""Best Latin Songs of 2019"" by Spotify:
    J Balvin & Bad Bunny - LA CANCIÓN
    ROSALÍA & J Balvin - Con Altura feat. El Guincho
    Daddy Yankee & Sn...","""Capaz Mañana"" by Zeballos:
    Si es amor todavía no me sale
    Por ahora muevelo como solo tú sabes
    Dímelo, que yo no estoy en tus pl...","""Grünt #34"" by Grünt:
    Retranscription à finir
    
    Dans un sachet moi, j'ai cinq grammes
    Ça fait des années que j'en bave
    J'me...","""Codigo Secreto"" by Carlitos Rossy:
    Llega un mensaje subliminal (Subliminal)
    Cuando sola dices que andas aburrida y sola
    Y que me sé el ...","""Mirala"" by De La Ghetto:
    Mírala, donde va por ahí (Donde va por ahí)
    Como ella se viste
    Irresistible, ella está que derrite
    M...","""Adieu! Bye Bye! Aufwiedersehen!"" by Indio Solari y los Fundamentalistas del Aire Acondicionado:
    -¡Sexi bomba! ¡y el Chulo Cheche!
    ¡adieu! ¡bye bye! ¡aufwiedersehen!
    Llegando al final él cree que l...","""Me Enamoré de Ti"" by Maluma:
    Quiero que seas mía y nunca de nadie (Baby, bebé)
    Si sigo en tu vida fue para quedarme (Tú sabe')
    Un...","""El Farsante (Remix)"" by Ozuna:
    This is a Golden Remix (Oh-oh-oh)
    King
    
    Calculan que relaciones que fracasan, mayormente es por dese...","""Classic Thread Archive"" by Genius Users:
    READ THIS BEFORE YOU ADD TO OR CHANGE THIS PAGE!Highest up-votes:
    50+
    Bucket Season - Tha Carter 5 D..."
Avicii,"""The Nights"" by Avicii:
    (Hey)
    Once upon a younger year
    When all our shadows disappeared
    The animals inside came out to play ...","""Wake Me Up"" by Avicii:
    Feeling my way through the darkness
    Guided by a beating heart
    I can't tell where the journey will en...","""Waiting for Love"" by Avicii:
    Where there's a will, there's a way, kinda beautiful
    And every night has its day, so magical
    And if ...","""New Music Friday 08/11/17"" by Spotify:
    Marshmello - Silence feat. Khalid
    Avicii - Lonely Together feat. Rita Ora
    HAIM - Little of Your Love...","""Hey Brother"" by Avicii:
    Hey, brother
    There's an endless road to rediscover
    Hey, sister
    Know the water's sweet but blood is t...","""Levels (Radio Edit)"" by Avicii:
    Oh, sometimes
    I get a good feeling, yeah
    Get a feeling that I never, never, never, never had before,...","""Best New Weekly EDM/Pop Releases 2019"" by ​itischris:
    Week 19 – 6/5-12/5
    SG Lewis - ""Flames"" feat. Ruel
    R3hab & Julie Bergan - ""Don't Give Up On Me Now""
    D...","""Heaven"" by Avicii:
    Step out into the dawn
    You pray 'til, you pray 'til the lights come on
    And then you feel like you've...","""New Music Friday 08/11/17"" by Spotify:
    Marshmello - Silence feat. Khalid
    Avicii - Lonely Together feat. Rita Ora
    HAIM - Little of Your Love...","""Addicted to You"" by Avicii:
    I don't know just how it happened; I let down my guard
    Swore I'd never fall in love again, but I fel..."
Axis,"""Halo Retrograde"" by StapleMouth:
    Intro:
    Ormus...sound of a red balloon....
    SIQ
    Triangle Sun..Halo Retrograde
    Cycle...gears...a wheel ...","""Cut the Chord"" by JaronT:
    Intro:
    Live Wire to the High Life. Thai dyed Wi Fi, High Fives and Muy Thais
    I’ll Pilot. Glide in my...","""Trenches"" by Eugene Cam & Meltycanon:
    Eugene!
    
    Lot of cash, big money
    Money cache, like lil wayne
    Cash money, big bags
    Talking double bags...","""We aint dead"" by Sgoloza:
    We S.G.O forever
    We S.G.O forever (nigga)
    We S.G.O forever (i'm ready)
    We S.G.O forever Lets Go
    
    Pum...","""Arise in Repeat"" by Rivers of Nihil:
    Unsteadily awaken to Arise in repeat
    That far long scent triggers memories all too sweet
    Inhale to a...","""Venom"" by Little Simz:
    Life sucks and I never tried suicide
    Mind's fucked even more than I realise
    Time's up, keep it movin...","""AXIS"" by FLESH:
    Еду на черном авто
    Мой телефон рвется на части
    Снова звонок, алло, ты кто?
    Сука ко мне не причастен
    ...","""The History of England, Vol.I. ( Chap 1.43)"" by David Hume:
    Elizabeth
    1590.
    After a state of great anxiety and many difficulties, Elizabeth had at length reache...","""Live Reactions"" by Callin From The Fun House:
    Ben's Rankings
    10:
    Heltah Skeltah- Nocturnal
    9.5:
    Blackalicious- Blazing Arrow
    Warren G- Regulate......","""You Know My Steez"" by Gang Starr:
    That makes me know that what we're doing
    We had the right idea in the beginning
    And and we just need..."
Axwell,"""More Than You Know"" by Axwell Λ Ingrosso:
    I just need to get it off my chest
    Yeah, more than you know
    Yeah, more than you know
    You should know...","""Sun Is Shining"" by Axwell Λ Ingrosso:
    A simple band of gold
    Wrapped around my soul
    Hard forgiving, hard forget
    Faith is in our hands
    Castl...","""Dreamer"" by Axwell Λ Ingrosso:
    Heavy on your heart
    Heavy on your mind
    Wandering the streets tonight
    If you're looking for a home
    Yo...","""Something New"" by Axwell Λ Ingrosso:
    I see the dawn of a new beginning
    This time, this time time we can't go home
    I hear the streets of t...","""Dreamer (Matisse & Sadko Remix)"" by Axwell Λ Ingrosso:
    Heavy on your heart
    Heavy on your mind
    Wandering the streets tonight
    If you're looking for a home
    Yo...","""I Love You"" by Axwell Λ Ingrosso:
    I love you, even though I don't like you right now
    I want you, even though you keep breaking me down...","""Dancing Alone"" by Axwell Λ Ingrosso:
    She's shining in a sea of people, see her smiling
    Something about her body caught my eyes and
    I can'...","""On My Way"" by Axwell Λ Ingrosso:
    No time to pretend
    Dust off and try again
    Straight out of lion's den
    Strong as a thousand men
    
    That'...","""Renegade"" by Axwell Λ Ingrosso:
    Baby, I'm a renegade
    Baby, you're a firestorm
    Move your body close to mine
    We can dance into the daw...","""How Do You Feel Right Now"" by Axwell Λ Ingrosso:
    How do you feel right now
    
    How do you feel right now
    How do you feel right now
    How do you feel right..."
Axwell /\ Ingrosso,"""More Than You Know"" by Axwell Λ Ingrosso:
    I just need to get it off my chest
    Yeah, more than you know
    Yeah, more than you know
    You should know...","""Sun Is Shining"" by Axwell Λ Ingrosso:
    A simple band of gold
    Wrapped around my soul
    Hard forgiving, hard forget
    Faith is in our hands
    Castl...","""Dreamer"" by Axwell Λ Ingrosso:
    Heavy on your heart
    Heavy on your mind
    Wandering the streets tonight
    If you're looking for a home
    Yo...","""Something New"" by Axwell Λ Ingrosso:
    I see the dawn of a new beginning
    This time, this time time we can't go home
    I hear the streets of t...","""Dreamer (Matisse & Sadko Remix)"" by Axwell Λ Ingrosso:
    Heavy on your heart
    Heavy on your mind
    Wandering the streets tonight
    If you're looking for a home
    Yo...","""I Love You"" by Axwell Λ Ingrosso:
    I love you, even though I don't like you right now
    I want you, even though you keep breaking me down...","""Dancing Alone"" by Axwell Λ Ingrosso:
    She's shining in a sea of people, see her smiling
    Something about her body caught my eyes and
    I can'...","""On My Way"" by Axwell Λ Ingrosso:
    No time to pretend
    Dust off and try again
    Straight out of lion's den
    Strong as a thousand men
    
    That'...","""Renegade"" by Axwell Λ Ingrosso:
    Baby, I'm a renegade
    Baby, you're a firestorm
    Move your body close to mine
    We can dance into the daw...","""How Do You Feel Right Now"" by Axwell Λ Ingrosso:
    How do you feel right now
    
    How do you feel right now
    How do you feel right now
    How do you feel right..."
